u,i,ts,w
531,535,3,23
535,531,3,27
531,535,3,23
535,531,3,27
535,190,3,2
531,540,3,1
531,535,3,23
535,531,3,27
190,535,3,2
531,535,3,23
281,33,3,9
531,462,3,3
367,541,3,3
541,367,3,1
8,176,3,21
40,354,3,2
8,176,3,21
367,541,3,3
500,235,3,22
127,61,3,5
512,439,3,2
127,235,3,23
521,272,3,1
235,127,3,18
96,351,3,2
96,541,3,61
127,235,3,23
143,397,3,4
541,96,3,65
96,541,3,61
324,481,3,14
96,541,3,61
235,127,3,18
541,96,3,65
127,235,3,23
541,542,3,6
96,541,3,61
127,96,3,1
500,235,3,22
541,96,3,65
235,500,3,8
96,541,3,61
324,522,3,3
500,235,3,22
542,541,3,5
144,118,3,3
235,127,3,18
324,481,3,14
541,96,3,65
235,500,3,8
500,235,3,22
541,542,3,6
324,71,3,2
96,541,3,61
539,307,3,6
541,96,3,65
127,235,3,23
542,541,3,5
96,541,3,61
235,500,3,8
324,481,3,14
541,542,3,6
235,127,3,18
118,143,3,1
73,377,3,4
541,96,3,65
96,541,3,61
324,96,3,26
324,96,3,26
324,96,3,26
542,541,3,5
96,324,3,23
127,235,3,23
73,526,3,2
73,527,3,1
73,543,3,1
324,481,3,14
541,96,3,65
73,518,3,1
324,96,3,26
96,541,3,61
73,540,3,1
96,324,3,23
541,96,3,65
324,96,3,26
96,324,3,23
541,96,3,65
96,541,3,61
324,96,3,26
541,96,3,65
96,324,3,23
67,96,3,2
96,541,3,61
541,96,3,65
96,67,3,2
481,324,3,10
324,96,3,26
96,541,3,61
324,481,3,14
96,324,3,23
541,96,3,65
324,96,3,26
235,127,3,18
96,541,3,61
96,324,3,23
67,96,3,2
324,512,3,4
324,512,3,4
481,324,3,10
96,67,3,2
324,481,3,14
541,96,3,65
512,324,3,2
324,96,3,26
40,512,3,2
324,512,3,4
480,61,3,1
96,541,3,61
541,512,3,2
512,324,3,2
96,324,3,23
512,541,3,2
324,512,3,4
541,96,3,65
541,512,3,2
324,96,3,26
512,541,3,2
96,541,3,61
67,47,3,1
324,60,3,1
481,324,3,10
96,324,3,23
324,481,3,14
67,60,3,3
324,96,3,26
541,60,3,1
512,97,3,1
541,96,3,65
40,512,3,2
324,108,3,1
541,96,3,65
481,324,3,10
71,324,3,2
512,544,3,1
96,541,3,61
96,541,3,61
96,541,3,61
96,541,3,61
96,541,3,61
541,96,3,65
324,481,3,14
324,71,3,2
96,541,3,61
541,96,3,65
541,96,3,65
71,324,3,2
481,324,3,10
324,96,3,26
324,481,3,14
96,541,3,61
545,531,3,2
96,324,3,23
481,324,3,10
545,541,3,5
541,96,3,65
324,96,3,26
324,481,3,14
545,453,3,9
481,324,3,10
545,96,3,2
324,481,3,14
481,324,3,10
96,541,3,61
96,324,3,23
324,481,3,14
324,96,3,26
96,324,3,23
546,310,3,1
324,96,3,26
96,324,3,23
324,96,3,26
96,324,3,23
324,96,3,26
481,324,3,10
324,481,3,14
545,96,3,2
324,541,3,11
541,324,3,12
541,547,3,6
324,541,3,11
547,541,3,4
541,324,3,12
324,541,3,11
541,547,3,6
541,324,3,12
324,541,3,11
296,74,3,3
324,548,3,6
548,324,3,6
61,480,3,5
276,351,3,2
431,378,3,2
544,512,3,1
320,83,3,1
320,549,3,1
320,202,3,1
320,67,3,4
320,118,3,2
320,241,3,4
320,490,3,3
320,364,3,5
43,73,3,12
535,190,3,2
288,535,3,2
535,531,3,27
535,288,3,2
531,535,3,23
535,531,3,27
536,73,3,1
531,535,3,23
535,531,3,27
397,307,3,10
531,535,3,23
536,535,3,2
446,324,3,8
535,531,3,27
211,288,3,8
414,328,3,4
388,481,3,10
388,455,3,1
450,31,3,2
75,398,3,2
75,257,3,1
541,96,3,65
40,75,3,3
284,535,3,1
535,284,3,1
192,501,3,4
508,388,3,11
508,535,3,3
40,541,3,1
374,371,3,1
535,508,3,1
535,288,3,2
473,31,3,13
18,450,3,1
508,535,3,3
40,374,3,2
508,535,3,3
290,392,3,2
550,223,3,3
481,388,3,9
550,305,3,2
550,544,3,1
550,376,3,1
35,72,3,11
35,118,3,5
18,537,3,15
35,118,3,5
35,118,3,5
102,501,3,2
102,537,3,3
35,118,3,5
35,118,3,5
102,465,3,1
551,235,3,1
8,75,3,3
102,357,3,5
288,535,3,2
102,167,3,9
102,364,3,7
320,118,3,2
320,67,3,4
50,552,3,1
102,552,3,1
102,553,3,1
102,61,3,3
446,118,3,7
464,397,3,22
102,464,3,1
203,455,3,11
203,431,3,2
102,548,3,1
446,118,3,7
96,541,3,61
422,293,3,1
422,453,3,2
102,61,3,3
446,118,3,7
8,542,3,2
8,542,3,2
102,61,3,3
508,96,3,1
96,508,3,1
320,67,3,4
508,453,3,36
508,301,3,11
320,67,3,4
554,508,3,1
508,301,3,11
508,301,3,11
50,527,3,2
118,301,3,3
50,214,3,4
301,118,3,2
203,539,3,1
455,293,3,1
102,167,3,9
118,301,3,3
508,301,3,11
455,174,3,1
539,307,3,6
455,552,3,3
378,73,3,7
378,481,3,1
102,60,3,1
307,539,3,5
235,508,3,1
61,553,3,2
102,499,3,1
508,235,3,7
508,271,3,8
539,307,3,6
102,127,3,5
61,284,3,2
301,118,3,2
60,324,3,1
508,301,3,11
118,301,3,3
60,67,3,1
102,555,3,2
60,541,3,1
508,301,3,11
397,508,3,1
203,455,3,11
508,235,3,7
508,301,3,11
508,235,3,7
508,235,3,7
301,508,3,1
203,481,3,17
508,235,3,7
324,548,3,6
508,301,3,11
508,301,3,11
203,481,3,17
203,61,3,2
531,363,3,6
203,481,3,17
203,61,3,2
307,539,3,5
548,324,3,6
324,548,3,6
203,481,3,17
203,481,3,17
203,481,3,17
257,75,3,2
203,481,3,17
320,364,3,5
203,481,3,17
556,526,3,1
96,288,3,4
548,324,3,6
534,512,3,1
73,378,3,8
556,301,3,27
301,556,3,23
556,301,3,27
301,556,3,23
556,301,3,27
102,364,3,7
26,413,3,20
192,354,3,9
301,556,3,23
378,73,3,7
102,364,3,7
102,392,3,4
392,290,3,2
102,392,3,4
293,455,3,1
61,553,3,2
556,301,3,27
480,478,3,2
301,556,3,23
556,301,3,27
301,556,3,23
354,192,3,7
259,240,3,1
556,301,3,27
213,301,3,2
102,364,3,7
392,53,3,1
102,392,3,4
301,556,3,23
301,213,3,1
94,392,3,1
301,557,3,1
127,235,3,23
35,72,3,11
102,127,3,5
67,60,3,3
556,301,3,27
301,556,3,23
0,476,3,13
301,137,3,2
35,72,3,11
35,72,3,11
35,2,3,5
301,73,3,2
556,301,3,27
203,481,3,17
102,127,3,5
315,354,3,54
324,548,3,6
388,508,3,6
324,541,3,11
388,558,3,1
0,301,3,3
324,547,3,1
324,559,3,1
464,397,3,22
301,556,3,23
559,324,3,1
446,118,3,7
35,2,3,5
354,315,3,56
0,301,3,3
192,354,3,9
315,354,3,54
301,556,3,23
556,301,3,27
552,455,3,2
552,50,3,1
556,301,3,27
354,315,3,56
301,556,3,23
241,235,3,1
315,354,3,54
18,232,3,3
18,64,3,2
526,31,3,2
526,73,3,2
315,354,3,54
526,553,3,1
315,354,3,54
553,526,3,1
251,5,3,3
40,459,3,3
203,241,3,1
143,397,3,4
73,301,3,1
73,526,3,2
526,73,3,2
208,526,3,1
40,526,3,4
526,208,3,1
541,324,3,12
541,547,3,6
40,526,3,4
539,307,3,6
40,526,3,4
96,324,3,23
251,96,3,4
96,251,3,4
473,31,3,13
96,251,3,4
96,251,3,4
480,251,3,11
388,481,3,10
301,73,3,2
251,480,3,11
102,174,3,9
102,512,3,1
102,127,3,5
265,96,3,2
40,560,3,2
473,73,3,7
213,301,3,2
480,251,3,11
96,265,3,1
324,96,3,26
96,324,3,23
251,480,3,11
282,143,3,3
192,388,3,10
388,192,3,9
524,210,3,8
524,213,3,7
524,92,3,1
480,251,3,11
480,251,3,11
50,560,3,1
192,388,3,10
251,480,3,11
548,324,3,6
548,324,3,6
366,392,3,1
282,374,3,2
282,514,3,1
50,38,3,1
285,548,3,1
548,285,3,1
102,174,3,9
102,524,3,32
213,524,3,7
102,127,3,5
324,548,3,6
213,499,3,1
324,552,3,1
455,552,3,3
203,455,3,11
455,526,3,3
554,561,3,3
464,455,3,15
399,143,3,2
296,262,3,13
464,455,3,15
455,251,3,4
464,455,3,15
251,455,3,4
464,455,3,15
455,251,3,4
251,455,3,4
464,455,3,15
455,251,3,4
251,455,3,4
356,133,3,3
455,251,3,4
464,455,3,15
251,455,3,4
464,455,3,15
399,427,3,9
102,167,3,9
102,133,3,4
455,26,3,1
464,397,3,22
464,455,3,15
455,537,3,1
399,428,3,9
388,192,3,9
388,251,3,11
356,133,3,3
464,397,3,22
397,455,3,2
464,455,3,15
356,537,3,1
397,455,3,2
464,397,3,22
388,251,3,11
464,455,3,15
464,397,3,22
388,251,3,11
388,251,3,11
480,251,3,11
251,480,3,11
388,251,3,11
37,147,3,1
37,176,3,13
37,176,3,13
397,393,3,2
464,397,3,22
562,238,3,2
446,118,3,7
37,167,3,2
37,392,3,1
37,232,3,1
102,167,3,9
464,397,3,22
213,436,3,1
397,174,3,2
213,563,3,1
464,455,3,15
259,282,3,6
524,213,3,7
493,324,3,1
493,388,3,17
399,285,3,7
50,464,3,1
538,395,3,3
482,126,3,1
560,50,3,5
464,455,4,15
40,352,4,1
522,564,4,1
560,50,4,5
446,118,4,7
446,118,4,7
455,143,4,1
118,167,4,1
464,455,4,15
464,397,4,22
560,50,4,5
464,397,4,22
464,455,4,15
175,269,4,2
40,565,4,1
40,459,4,3
464,397,4,22
40,269,4,2
399,395,4,30
560,50,4,5
566,259,4,1
167,118,4,1
566,459,4,1
102,167,4,9
567,369,4,1
296,480,4,1
276,251,4,5
40,388,4,56
464,397,4,22
453,180,4,17
276,251,4,5
40,388,4,56
251,388,4,7
102,167,4,9
61,453,4,8
312,126,4,1
18,565,4,3
18,565,4,3
18,565,4,3
538,453,4,4
61,453,4,8
538,453,4,4
538,535,4,5
464,397,4,22
40,480,4,1
8,526,4,5
8,176,4,21
538,453,4,4
8,176,4,21
8,388,4,7
464,397,4,22
8,568,4,89
8,565,4,3
369,567,4,1
388,251,4,11
397,464,4,16
219,307,4,4
219,307,4,4
538,453,4,4
516,480,4,3
40,388,4,56
537,437,4,1
535,531,4,27
516,437,4,2
516,539,4,1
531,535,4,23
535,531,4,27
74,96,4,1
531,535,4,23
82,535,4,3
276,566,4,1
235,127,4,18
251,388,4,7
82,385,4,2
74,474,4,12
537,569,4,1
82,535,4,3
127,235,4,23
421,535,4,5
192,388,4,10
235,127,4,18
192,367,4,2
118,537,4,1
307,219,4,1
127,235,4,23
362,453,4,6
362,453,4,6
362,453,4,6
494,539,4,7
203,481,4,17
403,5,4,2
192,367,4,2
421,535,4,5
335,367,4,4
539,494,4,6
235,127,4,18
335,367,4,4
47,537,4,17
47,537,4,17
537,539,4,8
539,537,4,8
537,47,4,18
537,539,4,8
539,537,4,8
47,537,4,17
537,539,4,8
537,47,4,18
453,362,4,4
539,537,4,8
354,315,4,56
320,364,4,5
537,539,4,8
539,537,4,8
47,537,4,17
288,96,4,7
354,315,4,56
320,453,4,14
537,47,4,18
354,315,4,56
537,539,4,8
539,537,4,8
537,288,4,5
537,539,4,8
288,537,4,5
537,47,4,18
47,370,4,1
537,288,4,5
539,537,4,8
335,367,4,4
320,453,4,14
537,539,4,8
537,47,4,18
288,537,4,5
47,537,4,17
539,537,4,8
320,537,4,2
537,288,4,5
320,453,4,14
537,47,4,18
127,235,4,23
288,537,4,5
47,537,4,17
537,288,4,5
537,47,4,18
320,537,4,2
288,537,4,5
47,537,4,17
320,453,4,14
537,288,4,5
320,269,4,1
47,537,4,17
320,453,4,14
537,47,4,18
537,47,4,18
335,367,4,4
288,537,4,5
47,537,4,17
307,351,4,1
47,537,4,17
307,453,4,2
354,192,4,7
537,47,4,18
453,307,4,2
335,293,4,1
307,453,4,2
537,47,4,18
37,127,4,13
307,539,4,5
37,269,4,1
203,335,4,2
453,307,4,2
203,335,4,2
143,282,4,4
47,537,4,17
47,537,4,17
537,47,4,18
537,47,4,18
47,537,4,17
537,47,4,18
47,537,4,17
537,47,4,18
143,455,4,1
47,537,4,17
73,458,4,2
8,126,4,4
192,354,4,9
537,47,4,18
192,354,4,9
47,537,4,17
537,47,4,18
72,392,4,1
143,47,4,14
307,335,4,2
47,537,4,17
143,47,4,14
72,453,4,1
143,47,4,14
335,307,4,1
307,335,4,2
143,47,4,14
391,227,4,13
72,342,4,2
47,143,4,2
143,47,4,14
72,451,4,1
391,126,4,2
335,535,4,4
102,143,4,3
307,96,4,1
96,307,4,1
391,537,4,1
37,127,4,13
37,377,4,2
102,377,4,7
354,315,4,56
102,395,4,2
570,127,4,12
281,455,4,6
570,127,4,12
102,269,4,2
570,127,4,12
570,127,4,12
399,453,4,4
570,127,4,12
570,259,4,1
570,127,4,12
570,127,4,12
127,570,4,5
570,127,4,12
127,570,4,5
439,459,4,1
171,391,4,1
127,570,4,5
570,127,4,12
570,127,4,12
570,127,4,12
570,127,4,12
127,570,4,5
127,570,4,5
545,453,4,9
404,455,4,1
188,143,4,15
480,347,4,1
545,453,4,9
545,571,4,1
480,251,4,11
251,480,4,11
61,59,4,4
5,565,4,1
213,524,4,7
535,335,4,4
455,395,4,1
8,143,4,4
550,223,4,3
550,82,4,3
203,570,4,1
362,453,4,6
82,535,4,3
474,74,4,14
288,318,4,1
26,455,4,1
315,354,4,54
315,354,4,54
26,413,4,20
315,354,4,54
354,315,4,56
354,315,4,56
316,307,4,33
354,315,4,56
315,354,4,54
315,354,4,54
354,192,4,7
354,315,4,56
354,315,4,56
315,354,4,54
315,354,4,54
320,453,4,14
307,548,4,1
288,448,4,5
320,448,4,2
315,307,4,4
354,315,4,56
315,101,4,6
354,315,4,56
354,101,4,10
315,354,4,54
354,315,4,56
315,354,4,54
539,307,4,6
539,570,4,1
448,288,4,3
455,448,4,3
550,318,4,1
320,448,4,2
448,455,4,2
455,448,4,3
550,455,4,8
364,539,4,5
550,455,4,8
539,364,4,4
550,146,4,3
364,539,4,5
550,455,4,8
539,364,4,4
198,535,4,6
364,539,4,5
276,72,4,2
276,171,4,5
539,364,4,4
276,72,4,2
192,354,4,9
364,539,4,5
539,364,4,4
364,539,4,5
288,448,4,5
7,31,4,8
31,7,4,12
524,213,4,7
7,31,4,8
516,251,4,1
265,96,4,2
288,364,4,2
364,288,4,1
282,143,4,3
288,364,4,2
69,572,4,2
8,96,4,10
40,566,4,2
324,558,4,1
40,566,4,2
203,566,4,2
307,315,4,3
388,251,4,11
388,192,4,9
31,7,4,12
31,7,4,12
232,192,4,27
232,480,4,2
203,566,4,2
573,5,4,1
40,388,4,56
211,118,4,2
455,354,4,1
265,448,4,1
235,127,4,18
5,403,4,2
301,448,4,2
5,514,4,1
5,121,4,2
296,74,4,3
127,235,4,23
37,127,4,13
37,501,4,58
211,5,4,18
37,127,4,13
37,127,4,13
211,5,4,18
211,5,4,18
61,265,4,5
126,391,4,2
126,312,4,1
101,315,4,3
227,391,4,12
68,288,4,1
68,307,4,2
397,393,4,2
305,437,4,3
421,535,4,5
262,296,4,10
8,126,4,4
8,96,4,10
8,96,4,10
397,312,4,3
574,575,4,1
8,96,4,10
473,31,4,13
102,576,4,2
550,455,4,8
550,305,4,2
508,453,4,36
102,576,4,2
537,539,4,8
473,47,4,1
386,385,4,4
282,247,4,3
539,537,4,8
577,340,4,1
548,307,4,1
417,511,4,1
417,578,4,1
417,579,4,2
562,537,4,1
248,301,4,4
59,61,4,3
211,371,4,6
61,59,4,4
211,302,4,14
211,262,4,9
211,304,4,5
580,581,4,2
320,401,4,2
550,455,4,8
550,496,4,1
40,459,4,3
362,474,4,3
362,474,4,3
62,126,4,13
421,448,4,2
281,455,4,6
281,455,4,6
548,494,4,1
552,455,4,2
552,324,4,1
301,455,4,1
213,582,4,7
582,213,4,10
480,370,4,1
455,552,4,3
455,301,4,1
213,582,4,7
251,388,4,7
213,511,4,4
213,511,4,4
213,583,4,2
582,213,4,10
213,582,4,7
474,362,4,4
473,31,4,13
474,362,4,4
474,362,4,4
582,213,4,10
213,582,4,7
213,582,4,7
582,213,4,10
582,213,4,10
251,462,4,11
494,548,4,1
213,582,4,7
494,539,4,7
494,497,4,58
494,423,4,2
203,480,4,3
582,213,4,10
281,455,4,6
213,582,4,7
354,315,4,56
582,213,4,10
354,192,4,7
582,213,4,10
494,584,4,5
371,374,4,5
371,232,4,5
582,213,4,10
371,96,4,6
582,213,4,10
192,354,4,9
362,474,4,3
144,118,4,3
371,494,4,12
192,388,4,10
371,364,4,1
474,362,4,4
11,147,4,2
371,537,4,3
0,301,4,3
585,251,4,3
248,301,4,4
102,537,4,3
251,5,4,3
439,586,4,1
439,587,4,5
5,577,4,2
585,588,4,2
439,589,4,2
474,590,4,1
590,474,4,1
585,480,4,13
144,118,4,3
18,526,4,6
37,501,4,58
37,385,4,2
37,51,4,2
37,377,4,2
395,455,4,1
37,526,4,2
421,548,4,1
296,421,4,25
395,399,4,11
37,591,4,3
421,284,4,3
284,421,4,2
37,526,4,2
37,301,4,1
271,508,4,5
33,312,4,23
37,127,4,13
37,127,4,13
26,421,4,4
102,526,4,1
585,480,4,13
585,480,4,13
421,284,4,3
585,480,4,13
585,537,4,3
585,388,4,3
192,592,4,3
26,421,4,4
462,227,4,1
320,592,4,1
142,414,4,2
585,480,4,13
462,468,4,16
538,395,4,3
50,301,4,1
301,50,4,1
33,334,4,1
462,531,4,3
462,251,4,9
33,526,4,1
82,385,4,2
296,421,4,25
296,271,4,11
316,570,4,1
192,592,4,3
73,591,4,3
203,455,4,11
582,171,4,1
203,480,4,3
203,455,4,11
203,455,4,11
203,455,4,11
282,374,4,2
356,592,4,1
203,455,4,11
265,235,4,1
82,550,4,1
203,297,4,11
296,421,4,25
307,455,4,1
251,462,4,11
307,582,4,2
582,307,4,3
282,247,4,3
371,537,4,3
8,176,4,21
8,526,4,5
388,251,4,11
307,565,4,1
388,192,4,9
61,284,4,2
11,147,4,2
453,362,4,4
508,271,4,8
11,592,4,3
446,94,4,7
11,592,4,3
570,539,4,1
585,388,4,3
26,421,4,4
11,354,4,1
508,453,4,36
551,265,4,1
11,592,4,3
61,566,4,3
554,387,4,4
8,126,4,4
554,589,4,6
18,408,4,36
307,370,4,1
211,508,4,1
320,436,4,5
211,66,4,2
211,72,4,1
40,388,4,56
296,421,4,25
18,408,4,36
211,118,4,2
531,462,4,3
537,371,4,1
18,408,4,36
299,467,4,1
265,474,4,5
474,265,4,4
18,408,4,36
211,387,4,10
446,94,4,7
18,592,4,9
43,455,4,2
18,408,4,36
324,390,4,4
324,582,4,2
192,592,4,3
40,388,4,56
320,299,4,3
192,388,4,10
320,305,4,1
320,372,4,1
265,474,4,5
211,479,4,7
593,474,4,3
320,479,4,4
211,479,4,7
388,192,4,9
519,290,4,4
468,462,4,17
519,7,4,3
40,388,4,56
211,288,4,8
211,288,4,8
474,265,4,4
211,262,4,9
593,501,4,2
265,474,4,5
593,501,4,2
18,408,4,36
18,592,4,9
130,547,4,1
211,262,4,9
582,324,4,5
362,453,4,6
367,593,4,5
288,436,4,1
519,7,4,3
18,592,4,9
288,305,4,1
293,50,4,13
288,96,4,7
288,370,4,4
302,211,4,19
281,461,4,7
370,307,4,1
94,370,4,2
192,388,4,10
296,421,4,25
281,461,4,7
96,288,4,4
592,18,4,2
568,335,4,1
288,96,4,7
18,592,4,9
26,421,4,4
18,592,4,9
203,302,4,4
273,31,4,1
582,324,4,5
296,421,4,25
273,461,4,2
72,211,4,1
40,388,4,56
388,192,4,9
18,592,4,9
281,461,4,7
582,324,4,5
61,342,4,1
462,251,4,9
40,388,4,56
296,421,4,25
462,531,4,3
219,282,4,1
308,390,4,1
462,468,4,16
340,577,4,1
40,388,4,56
160,161,4,8
8,568,4,89
453,362,4,4
281,461,4,7
40,388,4,56
211,304,4,5
566,594,4,4
40,388,4,56
493,388,4,17
61,462,4,3
281,461,4,7
61,566,4,3
594,566,4,4
96,288,4,4
192,388,4,10
40,388,4,56
342,61,4,2
211,302,4,14
324,582,4,2
593,367,4,4
288,96,4,7
342,72,4,1
40,501,4,31
462,61,4,2
342,5,4,1
61,462,4,3
388,192,4,9
342,61,4,2
582,324,4,5
18,592,4,9
462,61,4,2
40,501,4,31
503,288,4,3
161,160,4,5
50,501,4,1
288,503,4,3
40,388,4,56
370,288,4,1
582,324,4,5
367,593,4,5
468,462,4,17
61,462,4,3
40,595,4,1
370,94,4,1
40,501,4,31
592,18,4,2
593,367,4,4
40,388,4,56
94,370,4,2
11,388,4,19
503,288,4,3
288,370,4,4
40,501,4,31
288,503,4,3
40,388,4,56
367,593,4,5
192,388,4,10
11,174,4,35
102,305,4,2
288,96,4,7
11,388,4,19
371,388,4,10
40,501,4,31
516,288,4,3
96,288,4,4
371,537,4,3
371,96,4,6
40,388,4,56
503,288,4,3
371,96,4,6
11,479,4,2
40,501,4,31
11,299,4,2
102,461,4,21
40,89,4,5
11,401,4,9
288,96,4,7
11,388,4,19
288,516,4,1
40,388,4,56
102,401,4,3
288,503,4,3
40,501,4,31
40,388,4,56
593,367,4,4
103,96,4,2
40,388,4,56
40,388,4,56
541,96,4,65
288,568,4,1
35,399,4,2
96,103,4,1
96,541,4,61
11,568,4,81
18,592,4,9
35,72,4,11
40,89,4,5
568,288,4,1
18,592,4,9
367,593,4,5
40,388,4,56
11,388,4,19
541,96,4,65
211,596,4,1
11,388,4,19
11,141,4,9
595,541,4,2
11,568,4,81
11,388,4,19
40,501,4,31
11,568,4,81
96,541,4,61
40,388,4,56
18,597,4,4
541,96,4,65
11,342,4,19
96,541,4,61
566,594,4,4
11,568,4,81
541,595,4,1
35,597,4,1
593,367,4,4
102,568,4,1
541,96,4,65
175,514,4,2
40,501,4,31
371,436,4,15
40,388,4,56
541,141,4,1
96,541,4,61
11,568,4,81
566,501,4,2
367,593,4,5
102,488,4,1
11,568,4,81
40,388,4,56
40,89,4,5
8,568,4,89
541,96,4,65
96,541,4,61
462,468,4,16
40,388,4,56
192,388,4,10
288,462,4,2
371,436,4,15
568,102,4,2
595,541,4,2
102,390,4,1
40,501,4,31
541,388,4,10
35,510,4,1
462,288,4,1
541,96,4,65
501,566,4,1
288,462,4,2
11,568,4,81
40,89,4,5
96,541,4,61
40,388,4,56
40,501,4,31
541,96,4,65
8,568,4,89
388,192,4,9
513,512,4,2
371,436,4,15
102,597,4,7
371,488,4,4
568,102,4,2
288,388,4,2
96,541,4,61
541,96,4,65
11,568,4,81
89,593,4,1
422,436,4,1
388,541,4,9
598,288,4,25
96,541,4,61
541,597,4,14
388,288,4,2
8,568,4,89
288,388,4,2
597,541,4,18
40,388,4,56
541,388,4,10
388,288,4,2
541,96,4,65
541,597,4,14
371,390,4,3
541,597,4,14
40,597,4,9
96,541,4,61
597,541,4,18
288,390,4,5
40,388,4,56
11,568,4,81
371,507,4,5
388,541,4,9
541,96,4,65
541,597,4,14
288,597,4,6
8,568,4,89
96,541,4,61
11,568,4,81
40,388,4,56
288,599,4,1
541,388,4,10
597,541,4,18
566,501,4,2
541,96,4,65
408,102,4,2
598,288,4,25
96,541,4,61
566,541,4,3
127,235,4,23
388,541,4,9
408,541,4,3
541,96,4,65
371,436,4,15
595,56,4,8
18,408,4,36
40,388,4,56
566,547,4,1
541,566,4,3
96,541,4,61
40,388,4,56
541,388,4,10
566,541,4,3
481,436,4,1
541,96,4,65
40,388,4,56
566,541,4,3
371,488,4,4
18,408,4,36
541,96,4,65
541,96,4,65
541,96,4,65
598,288,4,25
541,566,4,3
541,566,4,3
96,541,4,61
388,541,4,9
488,371,4,2
324,96,4,26
11,568,4,81
595,288,4,1
40,388,4,56
408,541,4,3
598,288,4,25
96,324,4,23
541,96,4,65
18,408,4,36
598,288,4,25
288,595,4,1
11,568,4,81
566,324,4,2
541,388,4,10
568,371,4,42
40,388,4,56
96,541,4,61
598,288,4,25
102,408,4,3
422,597,4,8
388,541,4,9
598,288,4,25
324,566,4,2
541,96,4,65
323,127,4,2
40,388,4,56
513,453,4,1
96,541,4,61
371,436,4,15
367,370,4,2
127,323,4,7
371,488,4,4
367,51,4,2
324,96,4,26
11,568,4,81
541,388,4,10
367,481,4,3
96,324,4,23
566,324,4,2
541,96,4,65
324,566,4,2
408,541,4,3
408,102,4,2
18,408,4,36
388,541,4,9
367,453,4,2
96,541,4,61
288,453,4,3
171,501,4,1
282,143,4,3
18,408,4,36
56,595,4,7
541,388,4,10
324,96,4,26
101,97,4,4
40,388,4,56
11,568,4,81
436,371,4,4
288,148,4,5
568,371,4,42
367,299,4,2
388,541,4,9
11,568,4,81
96,324,4,23
18,408,4,36
8,568,4,89
598,288,4,25
446,367,4,2
18,600,4,4
211,367,4,13
371,597,4,1
598,288,4,25
316,367,4,3
367,537,4,1
595,56,4,8
541,96,4,65
324,96,4,26
371,513,4,1
148,288,4,4
18,600,4,4
541,388,4,10
96,541,4,61
8,568,4,89
96,324,4,23
481,367,4,2
8,600,4,15
501,171,4,1
446,367,4,2
8,568,4,89
388,541,4,9
11,568,4,81
288,148,4,5
367,481,4,3
8,600,4,15
18,408,4,36
211,367,4,13
566,601,4,4
8,568,4,89
18,600,4,4
541,96,4,65
541,388,4,10
11,568,4,81
481,367,4,2
371,436,4,15
316,367,4,3
276,262,4,9
96,541,4,61
601,566,4,1
388,541,4,9
566,601,4,4
148,288,4,4
8,600,4,15
541,388,4,10
8,568,4,89
324,96,4,26
370,367,4,1
598,288,4,25
18,408,4,36
8,526,4,5
367,481,4,3
18,600,4,4
436,371,4,4
323,127,4,2
96,324,4,23
595,118,4,3
288,148,4,5
211,367,4,13
11,568,4,81
305,284,4,1
323,328,4,9
40,388,4,56
35,600,4,4
541,96,4,65
513,436,4,1
367,370,4,2
148,288,4,4
8,568,4,89
97,101,4,2
8,526,4,5
288,148,4,5
101,97,4,4
541,96,4,65
8,600,4,15
11,568,4,81
96,541,4,61
8,388,4,7
397,143,4,3
324,436,4,1
211,367,4,13
585,408,4,1
18,408,4,36
585,388,4,3
8,568,4,89
11,568,4,81
305,238,4,1
148,288,4,4
143,141,4,12
8,600,4,15
436,324,4,1
541,96,4,65
211,367,4,13
8,501,4,1
371,436,4,15
598,288,4,25
96,541,4,61
262,526,4,2
8,600,4,15
288,148,4,5
8,513,4,5
370,305,4,2
8,568,4,89
211,367,4,13
367,403,4,2
11,568,4,81
8,481,4,2
526,262,4,2
8,568,4,89
541,96,4,65
35,600,4,4
566,597,4,1
282,444,4,6
11,526,4,20
211,367,4,13
367,513,4,4
96,541,4,61
8,597,4,42
541,96,4,65
8,408,4,10
262,526,4,2
8,513,4,5
367,387,4,2
11,568,4,81
188,143,4,15
513,367,4,3
211,367,4,13
35,399,4,2
8,568,4,89
526,262,4,2
8,600,4,15
8,513,4,5
96,541,4,61
371,436,4,15
367,513,4,4
513,387,4,3
513,367,4,3
8,568,4,89
11,568,4,81
35,600,4,4
8,600,4,15
367,513,4,4
531,462,4,3
211,367,4,13
566,537,4,3
566,537,4,3
566,537,4,3
35,600,4,4
11,526,4,20
8,408,4,10
598,288,4,25
541,96,4,65
444,282,4,5
8,513,4,5
211,367,4,13
11,568,4,81
371,102,4,6
96,541,4,61
175,602,4,5
371,444,4,2
282,444,4,6
371,102,4,6
513,367,4,3
11,568,4,81
18,479,4,1
11,526,4,20
8,568,4,89
8,513,4,5
597,566,4,1
8,408,4,10
597,288,4,4
175,602,4,5
11,568,4,81
371,526,4,5
367,513,4,4
288,597,4,6
8,597,4,42
11,568,4,81
598,288,4,25
597,541,4,18
8,568,4,89
371,444,4,2
597,288,4,4
11,568,4,81
211,367,4,13
597,102,4,5
8,597,4,42
175,602,4,5
519,219,4,1
8,568,4,89
11,568,4,81
8,597,4,42
211,367,4,13
560,50,4,5
